trial comp/dSemi comp/dEcc 
a14_e15 1186.965968 0.465517
a14_e16 1186.965968 0.496552
a14_e17 1186.965968 0.527586
a14_e18 1186.965968 0.558621
a14_e19 1186.965968 0.589655
a14_e20 1186.965968 0.620690
a14_e21 1186.965968 0.651724
a14_e22 1186.965968 0.682759
a14_e23 1186.965968 0.713793
a14_e24 1186.965968 0.744828
a14_e25 1186.965968 0.775862
a14_e26 1186.965968 0.806897
a14_e27 1186.965968 0.837931
a14_e28 1186.965968 0.868966
a14_e29 1186.965968 0.900000
a15_e00 1347.974620 0.000000
a15_e01 1347.974620 0.031034
a15_e02 1347.974620 0.062069
a15_e03 1347.974620 0.093103
a15_e04 1347.974620 0.124138
a15_e05 1347.974620 0.155172
a15_e06 1347.974620 0.186207
a15_e07 1347.974620 0.217241
a15_e08 1347.974620 0.248276
a15_e09 1347.974620 0.279310
a15_e10 1347.974620 0.310345
a15_e11 1347.974620 0.341379
a15_e12 1347.974620 0.372414
a15_e13 1347.974620 0.403448
a15_e14 1347.974620 0.434483
a15_e15 1347.974620 0.465517
a15_e16 1347.974620 0.496552
a15_e17 1347.974620 0.527586
a15_e18 1347.974620 0.558621
a15_e19 1347.974620 0.589655
a15_e20 1347.974620 0.620690
a15_e21 1347.974620 0.651724
a15_e22 1347.974620 0.682759
a15_e23 1347.974620 0.713793
a15_e24 1347.974620 0.744828
a15_e25 1347.974620 0.775862
a15_e26 1347.974620 0.806897
a15_e27 1347.974620 0.837931
a15_e28 1347.974620 0.868966
a15_e29 1347.974620 0.900000
a16_e00 1530.823651 0.000000
a16_e01 1530.823651 0.031034
a16_e02 1530.823651 0.062069
a16_e03 1530.823651 0.093103
a16_e04 1530.823651 0.124138
a16_e05 1530.823651 0.155172
a16_e06 1530.823651 0.186207
a16_e07 1530.823651 0.217241
a16_e08 1530.823651 0.248276
a16_e09 1530.823651 0.279310
a16_e10 1530.823651 0.310345
a16_e11 1530.823651 0.341379
a16_e12 1530.823651 0.372414
a16_e13 1530.823651 0.403448
a16_e14 1530.823651 0.434483
a16_e15 1530.823651 0.465517
a16_e16 1530.823651 0.496552
a16_e17 1530.823651 0.527586
a16_e18 1530.823651 0.558621
a16_e19 1530.823651 0.589655
a16_e20 1530.823651 0.620690
a16_e21 1530.823651 0.651724
a16_e22 1530.823651 0.682759
a16_e23 1530.823651 0.713793
a16_e24 1530.823651 0.744828
a16_e25 1530.823651 0.775862
a16_e26 1530.823651 0.806897
a16_e27 1530.823651 0.837931
a16_e28 1530.823651 0.868966
a16_e29 1530.823651 0.900000
a17_e00 1738.475647 0.000000
a17_e01 1738.475647 0.031034
a17_e02 1738.475647 0.062069
a17_e03 1738.475647 0.093103
a17_e04 1738.475647 0.124138
a17_e05 1738.475647 0.155172
a17_e06 1738.475647 0.186207
a17_e07 1738.475647 0.217241
a17_e08 1738.475647 0.248276
a17_e09 1738.475647 0.279310
a17_e10 1738.475647 0.310345
a17_e11 1738.475647 0.341379
a17_e12 1738.475647 0.372414
a17_e13 1738.475647 0.403448
a17_e14 1738.475647 0.434483
a17_e15 1738.475647 0.465517
a17_e16 1738.475647 0.496552
a17_e17 1738.475647 0.527586
a17_e18 1738.475647 0.558621
a17_e19 1738.475647 0.589655
a17_e20 1738.475647 0.620690
a17_e21 1738.475647 0.651724
a17_e22 1738.475647 0.682759
a17_e23 1738.475647 0.713793
a17_e24 1738.475647 0.744828
a17_e25 1738.475647 0.775862
a17_e26 1738.475647 0.806897
a17_e27 1738.475647 0.837931
a17_e28 1738.475647 0.868966
a17_e29 1738.475647 0.900000
a18_e00 1974.295062 0.000000
a18_e01 1974.295062 0.031034
a18_e02 1974.295062 0.062069
a18_e03 1974.295062 0.093103
a18_e04 1974.295062 0.124138
a18_e05 1974.295062 0.155172
a18_e06 1974.295062 0.186207
a18_e07 1974.295062 0.217241
a18_e08 1974.295062 0.248276
a18_e09 1974.295062 0.279310
a18_e10 1974.295062 0.310345
a18_e11 1974.295062 0.341379
a18_e12 1974.295062 0.372414
